run,event,pip_rec_px,pip_rec_py,pip_rec_pz,pip_lund_px,pip_lund_py,pip_lund_pz,theta_lund_deg,theta_rec_deg,pip_rec_vx,pip_rec_vy,pip_rec_vz,pip_lund_vx,pip_lund_vy,pip_lund_vz,rec_track_detector_list,rec_traj_detector_list,rec_scintillator_detector_component,rec_particle_pid_list
11,3444,0.194268,-0.656217,0.862915,2.40857,-2.95536,4.6599,39.2886,38.4176,0.233214,0.0855198,-8.58432,0,0,-4.49498,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:48","11,2212,211,2112,22"
11,4072,-0.598042,0.352913,0.861193,-1.14715,1.01098,1.65527,42.7304,38.8804,5.38759,9.07881,-7.85205,0,0,-2.96779,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:16,12:43","11,2212,211"
11,3185,-0.40293,-0.503086,0.805854,-0.400966,-0.506722,0.811141,38.5417,38.6542,0.078267,-0.0313073,-0.691354,0,0,-3.76608,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:18,12:47","11,0,211,2112,22"
11,4188,-0.664674,0.00805253,0.844434,-1.44681,-0.348281,1.8174,39.3114,38.2092,0.107825,6.5253,-13.7241,0,0,-2.04664,"6","15,8,8,8,8,8,8,6,6,6,12,12,16,7,7,7","12:15,12:39","11,2212,2212,211,2112,22,22"
11,4593,0.266736,0.685057,0.928174,0.26567,0.719762,0.977173,38.1372,38.3808,0.17849,-0.0943045,-1.22371,0,0,-6.52339,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:19,12:49","11,0,211,2112"
11,4738,-0.678147,-0.292023,0.940115,-0.700145,-0.313904,0.987094,37.8588,38.1454,0.0487298,0.00257695,-1.71391,0,0,-4.65505,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:21,12:53","11,0,211,2112,2112"
11,179,0.67839,-0.178747,0.878739,0.66516,-0.180359,0.873478,38.2736,38.6022,-0.203461,-0.66923,-1.17386,0,0,-1.36483,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:51","11,211,0,2112,2112"
11,2038,-0.24176,0.620674,0.825062,-0.314731,0.661586,0.903567,39.036,38.9149,-2.38217,-0.976099,-2.45659,0,0,-1.34712,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:19,12:50","11,321,211"
11,3665,-0.0449299,0.650336,0.830435,-0.071574,0.685361,0.860676,38.682,38.1317,-0.993301,-0.115816,-1.35505,0,0,-3.28034,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:20,12:52","11,0,211,22"
11,530,0.528138,-0.50411,0.909772,0.606918,-0.513055,0.992423,38.6872,38.7476,0.557658,0.646283,-2.63054,0,0,2.49102,"6","15,8,8,8,8,8,8,6,6,6,12,12,12,16,7,7,7","12:21,12:53","11,321,211,22,22"
