run,event,rec_particle_pid_list,rec_particle_charge_list,rec_particle_status_list,rec_particle_px_list,rec_particle_py_list,rec_particle_pz_list,rec_particle_p_list,rec_particle_theta_deg_list,rec_particle_vx_list,rec_particle_vy_list,rec_particle_vz_list,mc_lund_pid_list,mc_lund_px_list,mc_lund_py_list,mc_lund_pz_list,mc_lund_p_list,mc_lund_theta_deg_list,mc_lund_vx_list,mc_lund_vy_list,mc_lund_vz_list,rec_track_pindex_detector_list,rec_traj_pindex_detector_layer_list,rec_scintillator_pindex_detector_component_list
11,77,"11,321,211","-1,1,1","-2231,4100,2230","1.20576036,-0.29771993,-0.30158213","0.89280725,-0.63543075,-0.57875735","9.56437874,0.89970952,0.83135909","9.68133790,1.14100246,1.05691522","8.91508015,37.95207134,38.13201323","-4.55247736,0.00061814,0.86454624","6.13669157,-0.00028962,-0.40064535","27.48604202,-5.49127865,-4.15685654","11,211","0.84167099,-0.30174300","0.89420700,-0.64820802","8.86080456,0.91746497","8.94549460,1.16317000","7.89032433,37.92997740","0.00000000,0.00000000","0.00000000,0.00000000","-7.79148102,-7.79148102","0:6,1:5,2:6","0:15:1,0:8:1,0:8:2,0:8:3,0:8:4,0:8:5,0:8:6,0:6:6,0:6:18,0:6:36,0:12:2,0:12:1,0:16:1,0:7:1,0:7:4,0:7:7,1:5:1,1:5:3,1:5:5,1:5:7,1:5:12,1:4:1,1:3:1,1:3:2,1:3:3,2:15:1,2:8:1,2:8:2,2:8:3,2:8:4,2:8:5,2:8:6,2:6:6,2:6:18,2:6:36,2:12:2,2:12:1,2:16:1,2:7:1,2:7:4,2:7:7","0:12:5,0:12:15,1:4:35,2:12:17,2:12:46"
11,4048,"11,211,211","-1,1,1","-2231,4100,2100","0.63479298,0.16984455,0.13272268","2.84359288,-0.72793943,-0.70876145","6.83813047,0.92751598,0.90966028","7.43296785,1.19122999,1.16079280","23.07785028,38.86556535,38.40361114","-0.39914587,0.01551943,1.53366661","0.07421649,0.00362103,0.31542367","-4.40809917,-3.90033627,-3.83053613","11,211","0.62578702,0.17887101","2.85044599,-0.75514799","6.84797907,0.96957397","7.44388803,1.24190057","23.08173173,38.67364941","0.00000000,0.00000000","0.00000000,0.00000000","-1.55839097,-1.55839097","0:6,1:5,2:6","0:15:1,0:8:1,0:8:2,0:8:3,0:8:4,0:8:5,0:8:6,0:6:6,0:6:18,0:6:36,0:12:2,0:12:1,0:16:1,0:7:1,0:7:4,0:7:7,1:5:1,1:5:3,1:5:5,1:5:7,1:5:12,1:4:1,1:3:1,1:3:2,1:3:3,2:15:1,2:8:1,2:8:2,2:8:3,2:8:4,2:8:5,2:8:6,2:6:6,2:6:18,2:6:36,2:12:3,2:12:2,2:12:1,2:16:1,2:7:1,2:7:4,2:7:7","0:12:16,0:12:41,1:4:40,2:12:55"
11,502,"11,211,0","-1,1,1","-2231,2010,4000","-0.42477110,0.67864716,0.67023784","-0.03573263,0.03714544,0.03578451","4.19223022,0.86747813,0.86895674","4.21384641,1.10202544,1.09799140","5.80595457,38.07844778,37.68292114","-0.02327845,-0.04757253,-0.00089245","0.31535321,0.17594048,0.01671546","-2.15737987,-1.67563522,-1.60026360","11,211","-0.43220299,0.68185300","-0.03221000,0.03878600","4.21955585,0.87373000","4.24175536,1.10897790","5.86443327,38.01313188","0.00000000,0.00000000","0.00000000,0.00000000","0.24523000,0.24523000","0:6,1:6,2:5","0:15:1,0:8:1,0:8:2,0:8:3,0:8:4,0:8:5,0:8:6,0:6:6,0:6:18,0:6:36,0:12:2,0:12:1,0:16:1,0:7:1,0:7:4,0:7:7,0:18:1,0:18:2,1:15:1,1:8:1,1:8:2,1:8:3,1:8:4,1:8:5,1:8:6,1:6:6,1:6:18,1:6:36,1:12:2,1:12:1,1:16:1,1:7:1,1:7:4,1:7:7,2:5:1,2:5:3,2:5:5,2:5:7,2:5:12,2:4:1,2:3:1,2:3:2,2:3:3","0:12:6,0:12:17"
11,546,"11,211,211,2112,22,22,22","-1,1,1,0,0,0,0","-2231,4100,2210,2010,2210,2010,2110","0.61847770,-0.71325731,-0.64563900,-1.47673571,0.06600147,0.01820860,0.01799741","-1.82018745,-0.11825687,-0.05597475,-1.17692375,-0.22802001,-0.10688911,-0.09625655","8.45732117,0.88291973,0.80595481,4.00034285,1.03140676,0.45939353,0.45671529","8.67305473,1.14116954,1.03418860,4.42364564,1.05837102,0.47201616,0.46709537","12.80603835,39.31293117,38.80244228,25.26961434,12.96102445,13.28026147,12.10160064","-0.13686512,-0.00119989,0.14186886,-0.13686512,-0.13686512,-0.13686512,-0.13686512","-0.03841066,0.00723704,-1.25465882,-0.03841066,-0.03841066,-0.03841066,-0.03841066","-3.85335207,-3.71515441,-4.59414911,-3.85335207,-3.85335207,-3.85335207,-3.85335207","11,211","0.69968301,-0.71421999","-2.13843107,-0.11638600","9.88579464,0.89007002","10.13860836,1.14711836","12.82198850,39.11164532","0.00000000,0.00000000","0.00000000,0.00000000","2.68262696,2.68262696","0:6,1:5,2:6","0:15:1,0:8:1,0:8:2,0:8:3,0:8:4,0:8:5,0:8:6,0:6:6,0:6:18,0:6:36,0:12:2,0:12:1,0:16:1,0:7:1,0:7:4,0:7:7,1:5:1,1:5:3,1:5:5,1:5:7,1:5:12,1:4:1,1:3:1,1:3:2,1:3:3,2:15:1,2:8:1,2:8:2,2:8:3,2:8:4,2:8:5,2:8:6,2:6:6,2:6:18,2:6:36,2:12:2,2:12:1,2:16:1,2:7:1,2:7:4,2:7:7","0:12:8,0:12:23,1:4:28,2:12:18,2:12:48,4:12:7,4:12:20,6:12:6"
11,32,"11,211,2112,22,22,22,22,2112,22,2112,2112,22","-1,1,0,0,0,0,0,0,0,0,0,0","-2231,2230,2010,2020,2010,2010,2010,4110,2010,4100,4010,4110","-0.68620700,-0.44840896,-0.87689722,-0.33391237,-0.28501648,-0.23402707,-0.20955870,-0.27203891,-0.04159724,-0.16891220,0.01221232,-0.00000000","-0.68093240,0.52300167,0.30547068,0.13859630,0.08661171,0.09442334,0.06807597,0.05576580,-0.03205255,0.05831744,-0.03663564,0.00000000","4.29666328,0.87575579,2.21514273,0.66559869,0.65574980,0.53584164,0.41996950,0.06154282,0.23606288,-0.11278630,-0.00180556,0.00000000","4.40407361,1.11424842,2.40189891,0.75744836,0.72023870,0.59229275,0.47426107,0.28443367,0.24183337,0.21131258,0.03865968,0.00000000","12.68002170,38.19035475,22.74326175,28.50949327,24.43075697,25.21836528,27.68394226,77.50410437,12.54160884,122.25860586,92.67691433,nan","0.25444645,-2.44734597,0.25444645,0.25444645,0.25444645,0.25444645,0.25444645,0.25444645,0.25444645,0.25444645,0.25444645,0.25444645","-0.23402518,-2.15613604,-0.23402518,-0.23402518,-0.23402518,-0.23402518,-0.23402518,-0.23402518,-0.23402518,-0.23402518,-0.23402518,-0.23402518","-4.63133669,-5.64682817,-4.63133669,-4.63133669,-4.63133669,-4.63133669,-4.63133669,-4.63133669,-4.63133669,-4.63133669,-4.63133669,-4.63133669","11,211","-0.71263599,-2.71099210","-0.70558202,1.43776202","4.48251009,3.88930011","4.59332045,4.95411880","12.61076445,38.27340617","0.00000000,0.00000000","0.00000000,0.00000000","1.69590902,1.69590902","0:6,1:6","0:15:1,0:8:1,0:8:2,0:8:3,0:8:4,0:8:5,0:8:6,0:6:6,0:6:18,0:6:36,0:12:2,0:12:1,0:16:1,0:7:1,0:7:4,0:7:7,1:15:1,1:8:1,1:8:2,1:8:3,1:8:4,1:8:5,1:8:6,1:6:6,1:6:18,1:6:36,1:12:3,1:12:2,1:12:1,1:16:1,1:7:1,1:7:4,1:7:7","0:12:9,0:12:25,1:12:20,1:12:51,7:3:1,7:4:21,9:4:22,10:3:1,11:3:1,11:4:25"
11,2439,"11,211,0,22","-1,1,1,0","-2231,2220,4000,2110","-0.52327043,0.01521394,0.01467096,0.05543468","1.43744802,-0.63737786,-0.62295359,-0.07615901","4.34893656,0.79625738,0.79330063,0.19457974","4.61013210,1.02005285,1.00876772,0.21618157","19.37920424,38.68408555,38.14912900,25.83200720","0.35311112,-1.00100029,-0.01112409,0.35311112","0.11460514,-0.00166465,-0.00026198,0.11460514","-1.77217221,-1.12876081,-1.45088029,-1.77217221","11,211","-0.52261901,0.01421700","1.44086206,-0.64438599","4.34455681,0.81278503","4.60699338,1.03733068","19.43231365,38.41460190","0.00000000,0.00000000","0.00000000,0.00000000","-4.22297478,-4.22297478","0:6,1:6,2:5","0:15:1,0:8:1,0:8:2,0:8:3,0:8:4,0:8:5,0:8:6,0:6:6,0:6:18,0:6:36,0:12:2,0:12:1,0:16:1,0:7:1,0:7:4,0:7:7,1:15:1,1:8:1,1:8:2,1:8:3,1:8:4,1:8:5,1:8:6,1:6:6,1:6:18,1:6:36,1:12:3,1:12:2,1:12:1,1:16:1,1:7:1,1:7:4,1:7:7,2:5:1,2:5:3,2:5:5,2:5:7,2:5:12,2:4:1,2:3:1,2:3:2,2:3:3","0:12:14,0:12:36,1:12:19,1:12:50,3:12:17"
11,3587,"11,2212,211,22","-1,1,1,0","-2221,4100,2120,2020","-0.19612560,0.27258602,0.03028067,-0.21077678","-0.46311006,-1.03388417,-0.71465302,-0.33298719","2.83779097,1.15252209,0.89144367,2.24924803","2.88201210,1.57210902,1.14294255,2.28351133","10.04989555,42.85260814,38.74355138,9.93791342","0.24822764,0.01174877,1.94674420,0.24822764","-0.09652735,0.00309759,0.12429994,-0.09652735","-0.80557728,-1.02067590,-10.79042339,-0.80557728","11,211","-0.40257001,0.28144401","-0.79228300,-1.05335701","5.06345081,1.17832696","5.14084712,1.60537415","9.95466791,42.77814315","0.00000000,0.00000000","0.00000000,0.00000000","-3.00276494,-3.00276494","0:6,1:5,2:6","0:15:1,0:8:1,0:8:2,0:8:3,0:8:4,0:8:5,0:8:6,0:6:6,0:6:18,0:6:36,0:12:2,0:12:1,0:16:1,0:7:1,0:7:4,0:7:7,1:5:1,1:5:3,1:5:5,1:5:7,1:5:12,1:4:1,1:3:1,1:3:2,1:3:3,2:15:1,2:8:1,2:8:2,2:8:3,2:8:4,2:8:5,2:8:6,2:6:6,2:6:18,2:6:36,2:12:3,2:12:2,2:12:1,2:16:1,2:7:1,2:7:4,2:7:7","0:12:10,0:12:27,1:4:40,2:12:54"
11,2908,"11,0,211","-1,1,1","-2231,4000,2230","-0.24368745,-0.79575616,-0.62626988","-0.72869700,0.33727077,0.34343570","2.72154760,1.24157238,0.90901411","2.82793286,1.51277276,1.15605739","15.76575540,34.84243508,38.15843146","-0.27461946,-0.00119371,2.48046994","0.10152501,-0.00281644,4.47806072","-2.66556358,-3.00777364,-2.03187656","11,211","-0.24392900,-0.78276998","-0.73012602,0.33156601","2.72005892,1.21665800","2.82688979,1.48422422","15.80188344,34.94257047","0.00000000,0.00000000","0.00000000,0.00000000","-8.99072647,-8.99072647","0:6,1:5,2:6","0:15:1,0:8:1,0:8:2,0:8:3,0:8:4,0:8:5,0:8:6,0:6:6,0:6:18,0:6:36,0:12:2,0:12:1,0:16:1,0:7:1,0:7:4,0:7:7,1:5:1,1:5:3,1:5:5,1:5:7,1:5:12,1:4:1,1:3:1,1:3:2,1:3:3,2:15:1,2:8:1,2:8:2,2:8:3,2:8:4,2:8:5,2:8:6,2:6:6,2:6:18,2:6:36,2:12:3,2:12:2,2:12:1,2:16:1,2:7:1,2:7:4,2:7:7","0:12:13,0:12:34,2:12:19,2:12:49"
11,4547,"11,211,211","-1,1,1","-2231,4100,2230","1.06028521,-0.05190912,-0.00953677","0.27241641,0.70745498,0.63266349","2.49467301,0.87716299,0.79332030","2.72429970,1.12809664,1.01474683","23.69300429,38.96227505,38.57511625","-0.12571199,-0.01223597,-0.60370660","0.43216014,-0.00089781,-0.02614723","-1.66565907,-1.72002292,-1.71371365","11,211","1.05359101,-0.05128700","0.27322000,0.68887103","2.49335408,0.84616399","2.72057306,1.09232190","23.58303836,39.22695218","0.00000000,0.00000000","0.00000000,0.00000000","0.29931200,0.29931200","0:6,1:5,2:6","0:15:1,0:8:1,0:8:2,0:8:3,0:8:4,0:8:5,0:8:6,0:6:6,0:6:18,0:6:36,0:12:2,0:12:1,0:16:1,0:7:1,0:7:4,0:7:7,1:5:1,1:5:3,1:5:5,1:5:7,1:5:12,1:4:1,1:3:1,1:3:2,1:3:3,2:15:1,2:8:1,2:8:2,2:8:3,2:8:4,2:8:5,2:8:6,2:6:6,2:6:18,2:6:36,2:12:3,2:12:2,2:12:1,2:16:1,2:7:1,2:7:4,2:7:7","0:12:18,0:12:47,1:4:15,2:12:20,2:12:51"
11,4985,"11,45,211,22,22,2112","-1,1,1,0,0,0","-2231,4100,2200,2010,2010,2010","0.24762736,-2.74782515,-0.11178786,-0.13685472,-0.11273611,-0.00000000","-0.19892323,2.60589290,0.63520169,0.15528063,0.09963416,0.00000000","1.98644817,3.54080772,0.82052308,0.37816069,0.23393098,0.00000000","2.01168240,5.18445177,1.04366462,0.43109952,0.27813683,0.00000000","9.08464600,46.92409423,38.16873666,28.69352410,32.74731495,nan","-0.18650770,-0.00622101,-8.58449554,-0.18650770,-0.18650770,-0.18650770","-0.22386582,-0.00655984,-1.56183851,-0.22386582,-0.22386582,-0.22386582","-1.02278650,-0.37127939,-19.42479706,-1.02278650,-1.02278650,-1.02278650","11,211","0.25065801,-2.74993300","-0.20420200,2.60743999","1.99116695,3.55461407","2.01724409,5.19578252","9.22268413,46.83242173","0.00000000,0.00000000","0.00000000,0.00000000","2.78172994,2.78172994","0:6,1:5,2:6","0:15:1,0:8:1,0:8:2,0:8:3,0:8:4,0:8:5,0:8:6,0:6:6,0:6:18,0:6:36,0:12:2,0:12:1,0:16:1,0:7:1,0:7:4,0:7:7,1:5:1,1:5:3,1:5:5,1:5:7,1:5:12,1:4:1,1:3:1,1:3:2,1:3:3,2:15:1,2:8:1,2:8:2,2:8:3,2:8:4,2:8:5,2:8:6,2:6:6,2:6:18,2:6:36,2:12:3,2:12:2,2:12:1,2:16:1,2:7:1,2:7:4,2:7:7","0:12:12,0:12:31,1:4:19,2:12:20,2:12:51"
